"method","N","M","P","execution_time","work_performed"
"dijkstra","94","243","16","20.509237530273438","136.6806122578125"
"dijkstra","105","197","16","28.934073678710938","199.4176820859375"
"dijkstra","137","293","16","46.78137454638672","317.4160298945313"
"dijkstra","165","363","16","77.81884643994141","523.8123443085938"
"dijkstra","65","161","16","7.723004194580078","50.7746031015625"
"dijkstra","141","300","16","50.198727286132815","337.2369602929688"
"dijkstra","192","480","16","146.8326793154297","937.3462949570312"
"dijkstra","47","118","16","3.2069585119628905","21.62112791015625"
"dijkstra","35","74","16","1.7107362570800781","11.3823432109375"
"dijkstra","76","216","16","10.9712251640625","67.89789101953124"
"dijkstra","24","42","16","0.4029034620361328","2.9705912021484373"
"dijkstra","67","121","16","7.450692357177735","52.9483149140625"
"dijkstra","168","416","16","104.30969267382812","683.6175036992188"
"dijkstra","58","162","16","5.1635206594238285","33.71114603125"
"dijkstra","124","264","16","35.35678140771484","242.27378827734375"
"dijkstra","145","361","16","70.85988267919922","465.577948421875"
"dijkstra","123","308","16","44.491086634277345","296.243536078125"
"dijkstra","72","141","16","11.231162694335938","75.85226728125"
